20240401	14:20:37	4eea3eec-9e52-48d9-8354-99174ea85daf	/new-page	GET
20240401	14:20:37	8f439559-f801-42ca-8b30-439567d6d63e	/css/style.css	GET
20240401	14:20:37	1e284029-9edd-44a9-b60c-ac80b8a4863d	/img/img1.jpg	GET
20240401	14:20:37	406668aa-381e-4391-ae95-e60195434fbe	/favicon.ico	GET
20240401	14:22:13	0a369c0f-948b-4b15-b705-c494a7f1784f	/new-page	GET
20240401	14:22:34	2aa12a4b-299f-421e-a619-acdd8d15df9c	/new-page	GET
20240401	14:23:01	495ee0a8-e010-4be9-adc6-349d446f29e2	/new-page	GET
20240401	14:23:18	1b102765-fe20-401f-bba3-9df600acb16b	/new-page	GET
20240401	14:23:18	6ff6a9d0-7eab-47bd-b877-9f074a7bee92	/css/style.css	GET
20240401	14:23:18	e9a6e5a9-f854-489b-820d-4090aa7c0f0d	/img/img1.jpg	GET
20240401	14:23:25	95576199-e2a1-42f4-89f4-cc7005085b41	/	GET
20240401	14:23:25	322b7ada-3b48-42ca-ac0b-62f577e10ee1	/css/style.css	GET
20240408	10:14:14	0d7e432b-2b6f-4b79-b24c-8852fcef5dcd	GET	undefined	/
20240408	10:14:14	7e381dd6-2e73-4a62-9cae-e590dd0a9da4	GET	undefined	/css/style.css
20240408	10:17:28	6259ce73-85cf-4f24-9da9-8ef5a7464e4a	GET	undefined	/
20240408	10:17:28	31cff116-13ac-4216-a648-af1dc09247f5	GET	undefined	/css/style.css
20240408	10:19:23	9e31612a-8292-43f2-aff0-202ccab7bf5c	OPTIONS	https://www.google.com	/
20240408	10:19:23	c8e00b48-6453-42ce-846d-db2f33e2353b	GET	https://www.google.com	/
20240408	10:22:04	5f062edc-505b-4209-8435-3f83b04288c1	OPTIONS	https://www.google.com	/
20240408	10:22:04	19788ca0-e3d2-4725-aa8e-d80ad33b2056	GET	https://www.google.com	/
20240408	10:29:29	d81d0ecd-3bdd-44f9-abfb-e98bd298c998	OPTIONS	https://www.google.com	/
20240408	10:29:29	1242b0a5-2741-439d-80aa-48ab99d6a6b3	GET	https://www.google.com	/
20240408	10:29:54	d91bfbc6-35d1-4961-9cae-f243173e50a7	OPTIONS	https://www.google.com	/
20240408	10:29:54	44ef874d-6e27-4c8a-a421-a46d4e5c23f6	GET	https://www.google.com	/
20240408	10:30:52	0de0b9d2-e74e-47f5-b3e3-35c4b74075c3	OPTIONS	https://www.google.com	/
20240408	10:30:52	24968e87-7864-4200-a43e-5936cc712692	GET	https://www.google.com	/
20240408	10:34:07	71aa07fc-0eb2-4c25-9891-c29703af5f7b	GET	undefined	/
20240408	10:34:51	f82cbed4-4068-4112-b457-01f2967253eb	GET	undefined	/
20240408	10:34:51	6db9a6b8-b896-4e76-b424-9c7cac0f58e4	GET	undefined	/css/style.css
20240408	10:40:30	fcc35195-5753-478f-ad86-9501302a9d99	GET	undefined	/
20240408	10:41:58	40602c1b-010f-487e-a449-518af7070ff8	GET	undefined	/
20240408	10:41:58	ab0af3ce-a377-46dd-87e4-39cae8316af3	GET	undefined	/css/style.css
20240408	10:43:31	27cb6d86-f401-4110-8850-af9c724a5cee	GET	undefined	/dave
20240408	10:43:31	f717ad3c-4ac9-48c1-864d-58bd90d5703f	GET	undefined	/css/style.css
20240408	10:43:39	fdf7a172-209a-48b3-8353-38118efeb9e0	GET	undefined	/new-page
20240408	10:43:39	1d6f2bce-fca3-4b32-a58b-24b73a04cbfa	GET	undefined	/css/style.css
20240408	10:43:39	3609681a-e045-4532-a8b0-56f8e6bcdfec	GET	undefined	/img/img1.jpg
20240408	10:46:58	e66b88fc-9c96-4eef-8e56-8fc58ea2a44f	GET	undefined	/dave
20240408	10:46:59	f48e7dbe-c327-4d33-85b6-6c09cf838866	GET	undefined	/css/style.css
20240408	11:09:54	388cc37f-5c54-4658-8292-7079a8beba66	GET	undefined	/
20240408	11:09:54	067d104a-347b-4da9-bda2-2c07422d9f31	GET	undefined	/css/style.css
20240408	11:10:07	96965e30-8d6f-4d9b-9a3e-24af9dc06064	GET	undefined	/subdir/
20240408	11:10:13	754be811-b344-4ae0-bc1e-a14e36cb7cc9	GET	undefined	/subdir
20240408	11:10:37	8429a071-dff2-4a5e-b616-2a08707a9843	GET	undefined	/subdir
20240408	11:12:14	77e93787-7bc3-49eb-8c2d-91ef5c39e274	GET	undefined	/subdir
20240408	11:12:15	103fa37c-e95e-4ae2-bd65-9ab85f960d7d	GET	undefined	/subdir
20240408	11:12:57	a01277b7-3e69-4772-8a7d-730e998fbfb2	GET	undefined	/subdir
20240408	11:15:36	af3c3aa4-31b4-40d1-9630-fb7989d937b0	GET	undefined	/subdir
20240408	11:16:13	81c79a50-a9d0-4161-8919-e90a5da4accb	GET	undefined	/subdir
20240408	11:16:29	1d174a7a-e03a-4df0-9222-6ec5d3eea1fc	GET	undefined	/subdir/test
20240408	11:16:41	bb310ead-a3a5-45f8-b3df-5d57654ea40a	GET	undefined	/subdir/boob
20240408	11:16:41	2f29cf41-1598-4d8e-affe-3fd4977ed95d	GET	undefined	/subdir/css/style.css
20240408	11:18:04	084ade42-4545-4ac6-994d-d0cdf3d082d5	GET	undefined	/subdir/boob
20240408	11:18:04	ded206e3-a690-4343-bb85-ac2546694e88	GET	undefined	/subdir/css/style.css
20240408	11:18:07	1042c1f2-6e88-4b74-9d58-41ed9c9de0a7	GET	undefined	/subdir/boob
20240408	11:18:07	75744a87-00ca-4512-ae16-ea6fc9e09aa7	GET	undefined	/subdir/css/style.css
20240408	11:19:14	9c37564f-db44-4afe-804e-6cc084b58a29	GET	undefined	/subdir/boob
20240408	11:19:14	d238297f-eacd-48cd-ba7e-597b54d8ab4e	GET	undefined	/subdir/css/style.css
20240408	11:19:33	a4c59347-b355-4875-b5e4-f4dde2407d11	GET	undefined	/subdir/boob
20240408	11:19:33	8bccb46c-7f10-410a-838c-b3156a1bd363	GET	undefined	/subdir/css/style.css
20240408	11:19:43	3cf40981-c44f-423c-95d8-0bc1c2d9f26e	GET	undefined	/subdir/boob
20240408	11:19:43	a200fd45-bfa7-438c-bc7f-ba4c87e544c9	GET	undefined	/subdir/css/style.css
20240408	11:19:59	a04d037f-faed-4dee-a7cf-450936bc2d1f	GET	undefined	/subdir/boob
20240408	11:19:59	6e7d4123-53d2-4ff4-aee5-44a7cfeb48bf	GET	undefined	/subdir/css/style.css
20240408	11:20:33	c8b69901-1a51-4cd0-b0bd-ea15d540804c	GET	undefined	/subdir
20240408	11:20:45	404a22fb-a742-4317-b9e4-bfc790c2d492	GET	undefined	/
20240408	11:20:45	e0b6f952-20a9-49c7-90e8-9238f9230f93	GET	undefined	/css/style.css
20240408	11:20:53	70ba84e2-4423-45ec-8928-ad0a6a5169ab	GET	undefined	/subdir
20240408	11:22:17	975516fe-3845-4c68-9deb-c990c5cbd06c	GET	undefined	/subdir
20240408	11:22:17	b0e321a7-19a9-4f17-bd09-7f1f1672e4cb	GET	undefined	/subdir/
20240408	11:22:50	435db695-3190-47a8-b4e4-558c1e358429	GET	undefined	/
20240408	11:22:50	0651fa39-a32d-47ba-90ae-8197838cd486	GET	undefined	/css/style.css
20240408	11:22:56	afd5f2c9-ec62-4778-b64c-5b9893eaf8b9	GET	undefined	/subdir/boob
20240408	11:22:56	2fb54c69-bd75-4669-8a70-495c731fcf39	GET	undefined	/subdir/css/style.css
20240408	11:23:53	7920176c-fe21-45e1-8a07-73774a6be7d7	GET	undefined	/subdir/
20240408	11:31:32	cb35f41a-454e-4bb3-b135-38fc2b7ccf93	GET	undefined	/
20240408	11:31:32	e78fc7b4-64ac-4169-8286-b4ed3f886c52	GET	undefined	/css/style.css
